	fluxes
OGDH3_c	0.0
EX_glc_eb	0.0
GERANIALOX_c	0.0
14BXYLAN_12Ut_gc	0.02249471618790993
2DPREN3M6ME14BLH_c	0.0
OFERULOYLQUINATES_c	0.0
NNDPR_pl	0.0
ZCAROTEBC_c	0.0
SORBDEH_c	0.0
ASP_Ltdiff_cx	1.7205178109903738
LYSORNt_c	0.0
PMI12346PS_c	0.0
MGDG1819Z1627Z10ZDS_c	0.0
AACOAT_c	0.0
6O_TRANS_KETOMYCOLTRE6PRD_c	0.0
ICDHy_x	0.0
DHBD_c	0.0
ACTINORHODININTS_c	0.0
CAT_c	0.0
PPCOAO_m	0.0
G5SD_c	0.0
TMPPP_c	0.0
OGDH3_m	0.0
STS2_pl	0.13431114191456398
STS3_pl	0.13431114191456459
BETALDHYDH_c	0.0
PRAI_pl	0.061411028003735144
DMOR_pl	0.5817186211984918
ACGAMT2_c	0.0
cit_pumped_H_tx_v__v	0.0
HESPERITIN7OGIDEDRT_c	0.0
OCDCALDC_c	0.0
UAMAGS_c	0.0
G53OX_c	0.0
S8METHOCTHXIMCYSS_c	0.0
R3084_c	0.0
VIOXANOR_pl	0.0
GND_c	0.6199204923874979
DHORTS_c	0.6199204923874979
EX_nac_eb	0.0
1CL24DNBZGST_c	0.0
AMAOTr_c	0.0
SINK_coumarylalc_c	0.0
3PYRAZOL1YLALAS_c	0.0
PRAMPC_pl	0.3021690735080593
ACONTb_m	1.280332404383004
AKGMALt_cm	0.0
Ht_cx	-2.6645422837600354
URAt_cpl	0.0
ECOAH31_c	0.0
NDPK2_c	5.404126462706241
4IMDZLASE_c	0.0
Q9H2OX_c	0.0
ALATA_L_x	0.0
PWD_pl	0.0
PSURIK_c	0.0
CTPS2_c	0.3090231056515048
DAIDZEIN2H_c	0.0
3MTHPPNLDH_c	0.0
METHMALSALDDH_m	0.0
UAGDP_c	0.0
CAS_c	0.0
PPP9t_cm	0.0
ANTHBENZT_c	0.0
ASNS1_c	0.0
acald_tx_m__m	0.0
NADS2_c	0.0
TRDR_c	3.584975432839223
UDCPDPS_c	0.0
Pit6_plc	0.0
ACP1819ZD9DS_pl	0.0
HCYSLt_cpl	-0.11895901459594735
IGPS_pl	0.06141102800373514
NOOR_c	0.0
NTD11_c	0.0
M00957MO_c	0.0
2HGOR_c	0.0
GA13OX_c	0.0
IPDDI_pl	0.0
ECARODOX_c	0.0
MLTP4_pl	0.0
FLAVS_c	0.0
PTHPS_c	0.0
CONAL5H_c	0.027989427055283945
PC1819Z160DS_c	0.0
3HPPCOAHL_m	0.0
DC6PH_c	0.0
CHOLPPP_c	0.0
OIVD3_m	0.0
S9METHNONHXIMOYLCYSS_c	0.0
MI1236TKP_c	0.0
DUTPDP_c	0.0
GLXt_cx	0.0
PCOR_c	0.0
ATP2t_xc	1.3322711418800177
SO4t2_cpl	0.11898652183465287
LUT7OHIDES_c	0.0
3DH5HPBMT_c	0.0
HMR_1478_c	0.0
AROAT2_c	0.14151547647696025
MDHAR_x	0.0
CKDH3_c	0.0
SINK_gln_L_c	0.0
MI1256PHYT_c	0.0
EX_I_eb	0.0
DTMPK_m	0.0
H2Ot_cm	-10.170382673758352
BBISABOLENES_c	0.0
FA160ACPH_pl	0.0
